183;xml-id;auswahl;sender-1;sender-2;recipient-1;recipient-2;sender-placeName;recipient-placeName;date-cert;date-when;date-from;date-to;date-notBefore;date-notAfter;incipit;Handschrift- oder Abschriftennachweis;Umfang;Drucknachweis
;;UN;Ferdinand Gregorovius;;Charlotte Klumpp;;Rom;Rom;low;;;;;1865-05-06;Ich wartete vergebens bis 9 Uhr komme morgen vor Ihrer Abreise;H: DLA Marbach, Handschriftenabteilung, B: Gregorovius, Ferdinand, 12.104.1;VK, 1 S.;
;;UN;Ferdinand Gregorovius;;Charlotte Klumpp;;Rom;Stuttgart;low;;;;1865-05-00;;Nur im Fluge diesen freundlichen Gruß an Sie u Ihren Bruder!;H: DLA Marbach, Handschriftenabteilung, B: Gregorovius, Ferdinand, 12.104.1;1 Bl., 8°, ½ S.;
;;UN;Ferdinand Gregorovius;;Carlo Malagola;;München;Bologna;low;;;;1888-03-09;;la ringrazio infinitamente della copia a me donata della tavola di Don Rodrigo Borgia;H: Istituzione Biblioteca Classense del Comune di Ravenna, Carte Malagola;VK, 2 S.;
;;UN;Ferdinand Gregorovius;;Henry Stevenson;;Rom;Rom;low;;;;1889-10-25;1890-03-23;FERDINAND GREGOROVIUS / Via Laurina N. 11;H: Rom, Biblioteca Apostolica Vaticana, Vat. Lat. 14300 Epistolario Stevenson D–G, fol. 331, Nr. 629;VK (ohne Text);
;;UN;Ferdinand Gregorovius;;Henry Stevenson;;Rom;Rom;low;1879-00-00;;;;;;H: Rom, Biblioteca Apostolica Vaticana, Vat. Lat. 14300 Epistolario Stevenson D–G, fol. 332, Nr. 631;VK (ohne Text);
;ed_kbd_dhx_lqb;ED;Ferdinand Gregorovius;;Henry Stevenson;;Rom;Rom;low;;;;1883-04-01;1883-04-08;venni pur troppo senza truovarla in casa, e quindi le lascio le mie desiderata in iscritto.;H: Rom, Biblioteca Apostolica Vaticana, Vat. Lat. 14300 Epistolario Stevenson D–G, fol. 332, Nr. 632;1 Dbl., 8°, 2 ¼ S.;
;;UN;Ferdinand Gregorovius;;Herman Riegel;;Rom;Rom;low;1869-10-11;;;;;Montag N. M. Sie konnten Ihren Besuch bei mir nicht zu einer unglücklicheren Stunde machen;H: Niedersächsisches Landesarchiv, Standort Wolfenbüttel, NLA WO 298 N, Nr. 406, Bl. 12;1 Dbl., 12°, 1 S.;
n;;UN;Ferdinand Gregorovius;;Unbekannt (Reichsrat);;München;München;high;0000-00-00;;;;;Ew. Excellenz erlaube ich mir beifolgende schwarze Oliven (olive nere) [...] zu übersenden;H: Universitätsbibliothek Leipzig, Kurt-Taut-Sammlung, 1/F–G/G/211;1 Dbl., 8°, 1 S.;
;;UN;Ferdinand Gregorovius;;Unbekannt (Frau Doctor: Elisabeth Seeburg?);;;;high;0000-00-00;;;;;indem ich Ihnen für Ihre gütige Einladung freundlich danke, bedaure ich, daß ich sie nicht annehmen kann, weil ich heute schon zweimal zu Abend versagt bin.;H: Zentralbibliothek Zürich, Ms Briefe, Gregorovius 1.2;1 Dbl., 8°, 1 S.;
;;UN;Ferdinand Gregorovius;;Salomon Ludwig Steinheim;Johanna Steinheim;Rom;Rom;high;1864-12-00;;;;;Herzlich wünscht Glück und Gesundheit Ferdinand Gregorovius Herr und Frau Steinheim.;H: Zentralbibliothek Zürich, Ms Briefe, Gregorovius 1.1;VK;
;;UN;Ferdinand Gregorovius;;Wilhelm Heinrich Riehl;;München;München;low;;;;1870-07-13;;;H: Zentralbibliothek Zürich, Autogr. Bebler D 193;VK, ½ S.;
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;0000-00-00;;;;;bittet um gefällige Zurückgabe des Manuscripts, wie um ein paar Abzüge;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 495;VK, ¼ S.;
;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;München;Stuttgart;high;0000-00-00;;;;;von Rom zurückgekehrt mit beiliegender Gutschrift und vielen Empfehlungen;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 496;VK, ¼ S.;
n;;UN;Ferdinand Gregorovius;;Sigmund Münz;;;;low;;;;;1885-12-20;[…] Was meine Jugendwerke betrifft, wie Goethes „Wilhelm Meister“, „Das Polentum“ etc.;;;D1: Sigmund Münz: Erinnerungen an Ferdinand Gregorovius. In: Neue Freie Presse. Nr. 9596. Wien 14.5.1891. S. 3 (Auszug) – D2: Ferdinand Gregorovius und seine Briefe an Gräfin Ersilia Caetani Lovatelli. Hrsg. von Sigmund Münz. Berlin 1896. S. 12
n;;UN;Ferdinand Gregorovius;;Sigmund Münz;;;;low;;;;1884-00-00;;Ich sehe, daß Sie noch zaudern, einen fatalen Kreis um sich her zu ziehen;;;D1: Neue Freie Presse. Nr. 9596. Wien 14.5.1891. S. 3 (Auszug) – D2: Erinnerungen an Ferdinand Gregorovius (Mit Briefen an den Verfasser.) (Mai 1891). In: Ferdinand Gregorovius und seine Briefe an Gräfin Ersilia Caetani Lovatelli. Hrsg. von Sigmund Münz. Berlin 1896. S. 13
n;;UN;Ferdinand Gregorovius;;Sigmund Münz;;München;;low;;;;1884-08-02;;Sowol ich als […] haben Ihre Blätter mit großer Genugthuung gelesen;;;D1: Neue Freie Presse. Nr. 9596. Wien 14.5.1891. S. 3 (Auszug) – D2: Erinnerungen an Ferdinand Gregorovius (Mit Briefen an den Verfasser.) (Mai 1891). In: Ferdinand Gregorovius und seine Briefe an Gräfin Ersilia Caetani Lovatelli. Hrsg. von Sigmund Münz. Berlin 1896. S. 14–15
;G067777;ED;Ferdinand Gregorovius;;Contessa Ersilia Caetani Lovatelli;;Rom;Rom;low;;;;;1870-01-12;ich war gerade im Begriffe, Ihnen einige Zeilen zu schreiben, als mir Ihr liebenswürdiges Billet zukam;;;Ferdinand Gregorovius und seine Briefe an Gräfin Ersilia Caetani Lovatelli. Hrsg. von Sigmund Münz. Berlin 1896. S. 82
n;;UN;Sebastiano Kalefati;;Ferdinand Gregorovius;;Montecassino;Rom;low;;;;;1863-09-11;Erano appena cinque giorni dacchè col Dr. Stein di Danzica io faceva lunghe lagnanze del suo silenzio;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Kalefati, Sebastiano;1 Dbl., 8°, 1 S.;
;;UN;Contessa Ada Caetani;;Ferdinand Gregorovius;;Rom;Rom;low;;;;;1879-03-05;Wir würden beide so froh sein, wenn Sie mit uns Mittwoch den 5ten März um 8 Uhr speisen könnten.;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Caetani, Ada;1 Dbl., 8°, 1 S.;
;;UN;Ferdinand Gregorovius;;Unbekannt (Freund, Rombesucher);;Rom;Rom;high;0000-00-00;;;;;Ich bedaure wahrhaft, hochverehrter Freund, dass Sie mich gestern nicht zu Hause finden;H: Historical Autographs Julian Browning Ltd, London (Stand August 2021);VK, 2 S.;
;;UN;Ferdinand Gregorovius;;Luise von Eisenhart;;München;München;low;;;;1874-09-10;1875-03-02;Würden Sie, verehrte Frau, mir erlauben, Sie morgen Abends (Mittwoch) ein Stündchen lang sehr zu langweilen?;H: Eberhard Köstler Autographen & Bücher, Tutzing (Stand 2020);BK, 1 S.;Eberhard Köstler Autographen & Bücher (Auszug)
n;;UN;Ferdinand Gregorovius;;Irene Freifrau von Reyer;;Rom;Rom;low;1865-05-06;;;;;Rom Sonnabend [...] zu meinem tiefsten Bedauern muß ich am Sonntag der Freude entsagen, Sie und Ihren Herrn Gemal nach Albano zu begleiten;H: Allard Pierson, Universiteit van Amsterdam, Hs. Ds 95d;;
;;UN;Contessa Ada Caetani;;Ferdinand Gregorovius;;Rom;München;low;1882-06-24;;;;;Sabato 24 Junio [...] Non le posso dire quanto dispiacere mi ha fatto di averla mancato quando fu a Roma;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Caetani, Ada;1 Dbl., 8°, 2 ½ S.;
;;UN;Ferdinand Gregorovius;;Pasquale Villari;;Rom;Bologna;high;1879-03-04;;;;;;H: Rom, Biblioteca Apostolica Vaticana, Carte Villari 24, fol. 22–61;VK, 1 S.;„Un anello ideale“ fra Germania e Italia. Corrispondenze di Pasquale Villari con storici tedeschi. Hrsg. von Anna Maria Voci. Rom 2006. S. 171
;ed_rsg_4n5_pnb;ED;Ferdinand Gregorovius;;Carlo Malagola;;Rom;Bologna;high;1879-03-11;;;;;;H: Bologna, Biblioteca dell’Archiginnasio, Collezione Pallotti, XV, n. 937;1 Dbl., 12°, 3 S.;
;;UN;Ferdinand Gregorovius;;Unbekannt (Baronin);;München;München;high;0000-04-01;;;;;ich stelle den 4ten Band der Geschichte Roms wieder zu Ihrer Verfügung;H: Kotte Autographs (Stand August 2021);BK, 2 S.;Kotte Autographs (Auszug)
;;UN;Ferdinand Gregorovius;;Elisabeth Seeburg;;Rom;Rom;high;0000-04-02;;;;;Der unsichtbaren, nie erreichten, nach vergebenem Besuch seine hochachtungsvolle Empfehlung;H: BSB München, NL Gregorovius, Gregoroviusiana 20, Seeburg, Elisabeth, 19;1 Dbl., 8°, ½ S.;
;;UN;Ferdinand Gregorovius;;Manfred Lindemann-Frommel;;München;;high;0000-06-09;;;;;im Auftrage Deines Vaters schicke ich Dir 200 Fr.;H: Universität Würzburg, Martin-von-Wagner-Museum, NL Lindemann-Frommel, L 36–64, XXVIII;BK, 1 ½ S.;
;;UN;Ferdinand Gregorovius;;Elisabeth Seeburg;;München;Aussee;high;1884-08-16;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 20, Seeburg, Elisabeth, 10;1 Dbl., 8°, 3 S.;
;;UN;Ferdinand Gregorovius;;Elisabeth Seeburg;;München;Leipzig;high;1888-09-09;;;;;Ihre letzten Nachrichten erhielt ich noch in Traunstein;H: BSB München, NL Gregorovius, Gregoroviusiana 20, Seeburg, Elisabeth, 5;1 Dbl., 12°, 4 S.;
;;UN;Ferdinand Gregorovius;;Franz Rühl;;München;Königsberg;low;1880-09-09;;;;;ich habe eben, von Traunstein zurückgekehrt, Ihre Karte erhalten;H: Universitäts- und Landesbibliothek Bonn, NL Franz Rühl, S 2606, 74;PK, 1 S.;
;;UN;Ottilie Elgnowski;Ferdinand Gregorovius;Elisabeth Seeburg;;München;Rom;high;1877-12-00;;;;;[…] herzlich zu grüßen. – In diesem Jahre scheint kein Winter kommen zu wollen;H: BSB München, NL Gregorovius, Gregoroviusiana 20, Seeburg, Elisabeth, 20;1 Bl. (2r–2v Anfang fehlt), 8°, 1 S. (2r Ottilie Elgnowski) + 1 S. (2v Gregorovius);
n;;UN;Ferdinand Timotheus Gregorovius;Julius Pianka, Ferdinand Gregorovius, Leopold Pianka, Gustav Gregorovius;Julius Gregorovius;;Neidenburg;Königsberg;high;1837-07-17;;;;;;1 Bl., 12°, ¾ S.;1 Dbl., 4°, ½ S. (1r Ferdinand Timotheus Gregorovius) + ½ S. (1r Julius Pianka) + ½ (1v Ferdinand Gregorovius) + 1 S. (1v–2r Leopold Pianka) + ¼ S. (2r Gustav Gregorovius);
n;;UN;Ferdinand Timotheus Gregorovius;;Ferdinand Gregorovius;;Neidenburg;Gumbinnen;high;1838-09-25;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Gregorovius, Ferdinand Timotheus, 1;1 Dbl., 2°, 4 S.;
n;;UN;Ferdinand Timotheus Gregorovius;Ferdinand Gregorovius;Julius Gregorovius;;Neidenburg;Berlin;high;1838-10-12;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 20, Gregorovius, Julius, 2;1 Dbl., 4°, 1 ¼ S. (1r–v Ferdinand Timotheus Gregorovius) + 1 ½ S. (1v–2r Ferdinand Gregorovius);
n;;UN;Ferdinand Gregorovius;Ferdinand Timotheus Gregorovius;Julius Gregorovius;;Neidenburg;;high;1840-04-26;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 20, Gregorovius, Julius, 3;1 Dbl., 4°, 2 S. (1r–v Ferdinand Gregorovius) + 2 S. (2r–v Ferdinand Timotheus Gregorovius);
n;;UN;Ferdinand Timotheus Gregorovius;Ferdinand Gregorovius;Julius Gregorovius;;Neidenburg;Graudenz;high;1841-11-25;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 20, Gregorovius, Julius, 4;1 Dbl., 4°, 2 S. (1r–v Ferdinand Timotheus Gregorovius) + 1 S. (2r Ferdinand Gregorovius);
n;;UN;Ferdinand Gregorovius;;Emilie Auguste Gregorovius;;Königsberg;Neidenburg;high;1842-02-20;;;;;[Briefgedicht];H: BSB München, NL Gregorovius, Gregoroviusiana 20, Gregorovius, Emilie;1 Dbl., 8°, 4 S.;
n;;UN;Ferdinand Gregorovius;;Karl Rosenkranz;;Neidenburg;Königsberg;high;1842-11-13;;;;;;;;D1: Max Jacobson: Ungedruckte Briefe von Ferdinand Gregorovius. In: Deutsche Revue über das gesamte nationale Leben der Gegenwart. Jg. 19. Stuttgart [u. a.] 1894. Bd. 2. S. 349 (gekürzt) – D2: Ferdinand Gregorovius: Briefe nach Königsberg. Hrsg. von Dominik Fugger und Nina Schlüter. München 2013. S. 170 
n;;UN;Ferdinand Gregorovius;;Karl Rosenkranz;;Neidenburg;Königsberg;high;1843-01-21;;;;;;;;D1: Max Jacobson: Ungedruckte Briefe von Ferdinand Gregorovius. In: Deutsche Revue über das gesamte nationale Leben der Gegenwart. Jg. 19. Stuttgart [u. a.] 1894. Bd. 2. S. 350 (gekürzt) – D2: Ferdinand Gregorovius: Briefe nach Königsberg. Hrsg. von Dominik Fugger und Nina Schlüter. München 2013. S. 171
n;;UN;Ferdinand Gregorovius;;Rudolf Gregorovius;;Soldau;Schaken;high;1844-01-19;;;;;;;;Wanderjahre in Italien. Auswahl in zwei Bänden hrsg. von Heinrich Hubert Houben. Bd. 2. Leipzig 1912 (gekürzt) + ergänzend Kurt Getzuhn: Aus dem Briefwechsel von Ferdinand Gregorovius. I. Briefe von Karl Rosenkranz. In: Altpreußische Monatsschrift. Bd. 49. H. 1. Königsberg 1912. S. 166, Anm. 7
;;UN;Ferdinand Gregorovius;;Julius Fröbel;;Königsberg;Zürich;high;1845-08-14;;;;;;H: Zentralbibliothek Zürich, NL Julius Fröbel, Ms Z II 85.39;1 Bl., 4°, 1 S.;
n;;UN;Ferdinand Gregorovius;;Karl Rosenkranz;;Soldau;Königsberg;high;1845-03-16;;;;;;;;D1: Max Jacobson: Ungedruckte Briefe von Ferdinand Gregorovius. In: Deutsche Revue über das gesamte nationale Leben der Gegenwart. Jg. 19. Stuttgart [u. a.] 1894. Bd. 2. S. 350–351 (gekürzt) – D2: Ferdinand Gregorovius: Briefe nach Königsberg. Hrsg. von Dominik Fugger und Nina Schlüter. München 2013. S. 171–172
n;;UN;Ferdinand Timotheus Gregorovius;;Ferdinand Gregorovius;;Neidenburg;Königsberg;high;1846-08-25;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Gregorovius, Ferdinand Timotheus, 3;1 Dbl., 4°, 2 ¼ S.;
n;;UN;Ferdinand Timotheus Gregorovius;;Ferdinand Gregorovius;;Neidenburg;Königsberg;high;1847-04-27;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Gregorovius, Ferdinand Timotheus, 5;1 Dbl., 4°, 3 S.;
n;;UN;Ferdinand Timotheus Gregorovius;;Ferdinand Gregorovius;;Neidenburg;Königsberg;high;1847-06-19;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Gregorovius, Ferdinand Timotheus, 4;1 Dbl., 4°, 2 ¼ S.;
n;;UN;Ferdinand Timotheus Gregorovius;;Ferdinand Gregorovius;;Neidenburg;Königsberg;high;1847-08-25;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Gregorovius, Ferdinand Timotheus, 2;1 Dbl., 4°, 1 ½ S.;
n;;UN;Ferdinand Timotheus Gregorovius;Ottilie Gregorovius;Ferdinand Gregorovius;;Neidenburg;Königsberg;high;1847-08-28;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Gregorovius, Ferdinand Timotheus, 6;1 Dbl., 4°, 1 ¼ S. (vdH von Ottilie Gregorovius mit eigenh. Unterschrift, Nachschrift von Ottilie Gregorovius);
n;;UN;Wilhelm Drumann;;Ferdinand Gregorovius;;Königsberg;Königsberg;high;1847-12-04;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Drumann, Wilhelm Karl August;1 Bl., 4°, ¾ S.;
n;;UN;Ferdinand Gregorovius;Louis Köhler;Johann Peter Eckermann;;Königsberg;Weimar;high;;1848-12-10;1848-12-11;;;;;;Arthur Warda: Ein Brief von Ferdinand Gregorovius an Johann Peter Eckermann. In: Euphorion. Zeitschrift für Literaturgeschichte. Bd. 24. Leipzig, Wien: Fromme 1922. S. 134–137
n;;UN;Ferdinand Gregorovius;;Ottilie Elgnowski;;Königsberg;Neidenburg;high;1849-05-10;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 42a, Elgnowski, Ottilie, 1;1 Dbl., 4°, ½ S.;
n;;UN;Ferdinand Gregorovius;;Alexander Jung;;Königsberg;Königsberg;high;1849-09-10;;;;;;;;D1: Heinrich Hubert Houben: Ferdinand Gregorovius als Journalist. In: Deutsche Rundschau. Bd. 171. Berlin 1917. S. 224–225 – D2: Heinrich Hubert Houben: Kleine Blumen, kleine Blätter aus Biedermeier und Vormärz. Ein Strauß zu meinem 50. Geburtstag. Dessau 1925. S. 154–155 – D3: Ferdinand Gregorovius: Briefe nach Königsberg. Hrsg. von Dominik Fugger und Nina Schlüter. München 2013. S. 182–183
n;;UN;Ferdinand Gregorovius;;Emilie Auguste Gregorovius;;Königsberg;Neidenburg;high;1850-02-05;;;;;;;;Johannes Hönig: Ferdinand Gregorovius. Eine Biographie. Stuttgart 1944. S. 453 (gekürzt)
n;;UN;Ferdinand Gregorovius;;Weidmannsche Buchhandlung;;Königsberg;Leipzig;high;1850-10-22;;;;;;H: BSB München, Autogr., Gregorovius, Ferdinand, 1;1 Dbl., 4°, 3 ½ S.;
y;G067797;ED;Ferdinand Gregorovius;;Heinrich Laube;;Königsberg;Wien;high;1851-02-04;;;;;;H: Österreichische Nationalbibliothek, Teilnachlass Laube, Autogr. 156/1–1 HAN MAG;1 Dbl., 4°, 1 S.;
n;;UN;Ferdinand Gregorovius;;Blätter für literarische Unterhaltung;;Königsberg;Leipzig;high;1851-02-20;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 9;1 Dbl., 4°, ½ S.;
n;;UN;Ferdinand Gregorovius;;Klara Faltin;;Venedig;Königsberg;high;1852-04-24;;;;;;;;D1: Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 197–200 (gekürzt) – [und öfter] – D3: Ferdinand Gregorovius: Briefe nach Königsberg. Hrsg. von Dominik Fugger und Nina Schlüter. München 2013. S. 188–190
n;;UN;Ferdinand Gregorovius;;Albrecht Pancritius;;Livorno;Königsberg;high;1852-09-14;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 1;1 Bl., 8°, 1 ½ S.;D1: Heinrich Hubert Houben: Ferdinand Gregorovius als Journalist. In: Deutsche Rundschau. Bd. 171. Berlin (Mai) 1917. S. 241–242 – D2: Ferdinand Gregorovius: Briefe nach Königsberg. Hrsg. von Dominik Fugger und Nina Schlüter. München 2013. S. 39–40
n;;UN;Ferdinand Gregorovius;;Unbekannt (Herr, wohnhaft in Neapel);;Rom;Neapel;high;1853-12-16;;;;;;H: Los Angeles (CA), Getty Research Institute, Research Library, 860353;1 Dbl., 4°, 3 S.;
